"BANK_NAME","Account number","Currency","Ledger date","Transaction type","Description","ADDITIONAL DETAILS","Value date","Amount","Bank reference","Client reference","TOTAL DEBIT AMOUNT","TOTAL CREDIT AMOUNT"
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",6/30/2025,"Debit transactions","MISC PAYMENT","MRCH30124340019 FIRST DATA CANADA(J)",6/30/2025,322.91,,,516.59,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",6/30/2025,"Debit transactions","BILL PAYMENT","000000000000000 B.C. HYDRO & POWER AUTHORITY",6/30/2025,193.68,,,516.59,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",6/30/2025,"Credit transactions","MISC PAYMENT","DP30124340019 FIRST DATA CANADA(J)",6/30/2025,121878.14,,,,144608.60
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",6/30/2025,"Credit transactions","MISC PAYMENT","Uber Holdings Canad",7/2/2025,6745.30,,,,144608.60
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",6/30/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",6/30/2025,4039.03,,,,144608.60
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",6/30/2025,"Credit transactions","DEPOSIT 05910","BRENTWOOD BANKING CENTRE",6/30/2025,3056.65,,,,144608.60
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",6/30/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",6/30/2025,2467.11,,,,144608.60
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",6/30/2025,"Credit transactions","DEPOSIT 05910","BRENTWOOD BANKING CENTRE",6/30/2025,2082.40,,,,144608.60
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",6/30/2025,"Credit transactions","BUS ETRANSFER DEPOSIT","TXN REF:C1A2J6emrJru YUNG YUN HUANG",6/30/2025,1561.60,,,,144608.60
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",6/30/2025,"Credit transactions","MISC PAYMENT","IOT PAY",6/30/2025,1511.29,,,,144608.60
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",6/30/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",6/30/2025,1267.08,,,,144608.60
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/2/2025,"Debit transactions","MISC PAYMENT","MRCH30124340019 FIRST DATA CANADA(J)",7/2/2025,15102.24,,,20074.82,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/2/2025,"Debit transactions","RENT/LEASE","Rent 100097669",7/2/2025,3800.00,,,20074.82,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/2/2025,"Debit transactions","RENT/LEASE","000001496171295 ALOUETTE WARE WASH CHEMICAL",7/2/2025,952.00,,,20074.82,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/2/2025,"Debit transactions","DEPOSIT NOTE FEE","FULL-SERVICE 65054.8 AT 1.5/1,000",6/30/2025,97.58,,,20074.82,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/2/2025,"Debit transactions","SERVICE CHARGE","SELF-SERVICE",6/30/2025,84.00,,,20074.82,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/2/2025,"Debit transactions","SERVICE CHARGE","FULL-SERVICE",6/30/2025,39.00,,,20074.82,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/2/2025,"Credit transactions","MISC PAYMENT","DP30124340019 FIRST DATA CANADA(J)",7/2/2025,80499.86,,,,95380.16
