dish_name,material_number,standard_quantity,loss_rate,unit_conversion_rate
3秒海苔铃铃卷,4530199,0.0500,1.0000,10.000000
8秒劲道油豆皮,4026797,0.1500,1.0000,1.000000
8秒劲道油豆皮（半）,4026797,0.0750,1.0000,1.000000
8秒海带苗,4518488,0.2000,1.0000,1.000000
8秒海带苗（半）,4518488,0.1000,1.0000,1.000000
AAA级西冷牛肉,1500677,0.1600,1.2000,2.200000
AAA级西冷牛肉,1501275,0.1600,1.1000,0.454545
Chum Churum 原味烧酒 360mL,4507215,1.0000,1.0000,1.000000
MH Reserve Shiraz,1500908,1.0000,1.2500,0.454545
MODELO 355ML,4518034,1.0000,1.0000,1.000000
MODELO 355ML,4518034,1.0000,1.0000,1.000000
MoGu MoGu椰果饮料,4530200,1.0000,1.0000,10.000000
MoGu MoGu椰果饮料,4530202,1.0000,1.0000,10.000000
MoGu MoGu椰果饮料,4530203,1.0000,1.0000,10.000000
Peller Family（150ML）,4507217,0.1500,1.0000,1.000000
Prime级去骨牛小排,1500676,0.1600,1.0000,1.000000
Prime级去骨牛小排,4510316,0.1600,1.0000,1.000000
Prime级去骨牛小排,4522918,0.1600,1.0000,1.000000
Punch Bowl IPA(1.7L),4517611,1.7000,1.0000,1.000000
PunchBowlIPA(550ML),4517611,0.5500,1.0000,1.000000
Q弹牛肉丸,1500677,0.1600,1.2000,2.200000
Q弹牛肉丸,4526244,0.1550,1.0000,10.000000
RIO鸡尾酒 330ML,4004540,1.0000,1.0000,1.000000
RIO鸡尾酒 330ML,4004540,1.0000,1.0000,1.000000
Sapporo啤酒 1700ML,4528801,1.7000,1.0000,10.000000
Sapporo扎啤 500ML,4528801,0.5000,1.0000,10.000000
SMIRNOFF ICE鸡尾酒330ML,4518133,1.0000,1.0000,1.000000
SMIRNOFF ICE鸡尾酒330ML,4518133,1.0000,1.0000,1.000000
三鲜猪骨火锅,1500059,0.0800,1.0000,1.000000
三鲜猪骨火锅,1500059,0.0200,1.0000,1.000000
三鲜猪骨火锅,1500059,0.0400,1.0000,1.000000
三鲜猪骨火锅,1500687,0.2500,1.2500,0.454545
三鲜猪骨火锅,1500687,0.1250,1.2500,0.454545
三鲜猪骨火锅,1500687,0.5000,1.2500,0.454545
三鲜猪骨火锅,1500882,0.0750,1.2500,0.454545
三鲜猪骨火锅,1500882,0.0375,1.2500,0.454545
三鲜猪骨火锅,1500882,0.1500,1.2500,0.454545
乌冬面,1500721,0.2000,1.2500,0.454545
乌冬面,4530197,0.2000,1.0000,10.000000
乌龙雪顶奶茶,1500529,0.0720,1.0000,1.000000
乌龙雪顶奶茶,4514410,0.0200,1.0000,1.000000
乌龙雪顶奶茶,4520558,0.1200,1.0000,1.000000
优品会套餐肥牛,1500677,0.1600,1.0000,1.000000
健怡可乐,1500903,1.0000,1.2500,0.454545
健怡可乐,1500903,1.0000,1.2500,0.454545
冬瓜,4503604,0.1500,1.0000,1.000000
冬瓜茶 490ml,1500900,1.0000,1.2500,0.454545
冬瓜茶 490ml,1500900,1.0000,1.2500,0.454545
冬阴功锅底,1500703,0.2800,1.2500,0.454545
冬阴功锅底,1500703,0.1400,1.2500,0.454545
冬阴功锅底,1500703,0.0700,1.2500,0.454545
冬阴功锅底,1500882,0.1000,1.2500,0.454545
冬阴功锅底,1500882,0.4000,1.2500,0.454545
冬阴功锅底,1500882,0.2000,1.2500,0.454545
冬阴功锅底,4505163,0.6000,1.0000,3.000000
冬阴功锅底,4505163,0.1500,1.0000,3.000000
冬阴功锅底,4505163,0.3000,1.0000,3.000000
冰爽葡萄柠檬茶,4048872,0.1600,1.0000,1.000000
冰镇乌梅饮（1L）,1500529,0.0230,1.0000,1.000000
冰镇乌梅饮（1L）,1500896,0.0600,1.2500,0.454545
冰镇乌梅饮（1L）,1500897,0.1140,1.2500,0.454545
冰镇乌梅饮（2L）,1500529,0.0460,1.0000,1.000000
冰镇乌梅饮（2L）,1500896,0.1200,1.2500,0.454545
冰镇乌梅饮（2L）,1500897,0.2280,1.2500,0.454545
冰鲜墨鱼仔,1501013,0.1680,1.2500,0.454545
冰鲜墨鱼仔,4519171,0.1680,1.0000,1.000000
冰鲜墨鱼仔(半),1501013,0.1120,1.2500,0.454545
冰鲜墨鱼仔(半),4519171,0.1120,1.0000,1.000000
冰鲜桂花蚌,1500705,0.1300,1.2500,0.454545
冰鲜桂花蚌(半),1500705,0.1000,1.2500,0.454545
冰鲜海鲜拼盘,1500700,0.1000,1.2500,0.454545
冰鲜海鲜拼盘,4501135,0.0900,1.0000,1.000000
冰鲜海鲜拼盘,4510491,0.0250,1.0000,1.000000
冰鲜白虾,1500703,0.2800,1.2500,0.454545
冰鲜白虾(半）,1500703,0.1400,1.2500,0.454545
冰鲜老虎虾,4512428,0.2730,1.0000,1.000000
冻豆腐,4765891,0.2900,1.0000,1.000000
加多宝,4000635,1.0000,1.0000,1.000000
加多宝,4000635,1.0000,1.0000,1.000000
北冰洋,4701288,1.0000,1.0000,10.000000
北冰洋,4701288,1.0000,1.0000,10.000000
午餐肉,1500860,0.2000,1.2500,0.454545
午餐肉(半),1500860,0.1000,1.2500,0.454545
卤肥肠,1501253,0.1000,1.1000,0.454545
双椒肥牛,1500677,0.1600,1.0000,1.000000
可口可乐,1500902,1.0000,1.2500,0.454545
可口可乐,1500902,1.0000,1.2500,0.454545
台湾风味烤肠,4526242,0.1000,1.0000,10.000000
叻沙火锅,1501043,0.3000,1.2500,0.454545
叻沙火锅,1501043,0.1500,1.2500,0.454545
叻沙火锅,4511130,0.1941,1.0000,1.000000
叻沙火锅,4511130,0.0970,1.0000,1.000000
和牛牛舌,1500677,0.1600,1.2000,2.200000
和牛牛舌,1500686,0.1200,1.2500,0.454545
响铃卷,1500855,0.0400,1.2500,0.454545
唐生菜,1500764,0.2000,1.2500,0.454545
唐生菜(半),1500764,0.1000,1.2500,0.454545
土豆片,4502382,0.2500,1.0000,1.000000
土豆片(半),4502382,0.1500,1.0000,1.000000
多肉荔枝茉莉,4529695,0.1000,1.0000,10.000000
大白菜,4502287,0.3000,1.0000,1.000000
大白菜(半),4502287,0.1500,1.0000,1.000000
奶酪鱼柳,4019343,0.1250,1.0000,1.000000
宽粉,1500802,0.1600,1.2500,0.454545
宽粉(半),1500802,0.0800,1.2500,0.454545
寿喜锅底,1003028,0.0200,1.0000,1.000000
寿喜锅底,1003028,0.0400,1.0000,1.000000
寿喜锅底,1003028,0.0100,1.0000,1.000000
寿喜锅底,1501029,0.1260,1.2500,0.454545
寿喜锅底,1501029,0.0630,1.2500,0.454545
寿喜锅底,1501029,0.2520,1.2500,0.454545
寿喜锅底,1501618,0.2580,1.1000,0.454545
寿喜锅底,1501618,0.1290,1.1000,0.454545
寿喜锅底,1501618,0.5160,1.1000,0.454545
寿喜锅底,1501646,0.2220,1.1000,0.454545
寿喜锅底,1501646,0.4440,1.1000,0.454545
寿喜锅底,1501646,0.1110,1.1000,0.454545
山药,4517567,0.1500,1.0000,1.000000
扇贝,4515468,0.5000,1.0000,1.000000
扇贝(半),4515468,0.2500,1.0000,1.000000
手工现做牛筋丸,4515419,0.2000,1.0000,1.000000
手工现做牛筋丸（半）,4515419,0.1000,1.0000,1.000000
手工鲜虾云吞,1501055,6.0000,1.2500,0.454545
抹茶红豆慕斯粽,4046656,1.0000,1.0000,1.000000
捞派千层牛百叶,1500684,0.3000,1.2000,0.454545
捞派千层牛百叶(半),1500684,0.1000,1.2000,0.454545
捞派嫩鸡肉片,1500680,0.3000,1.2000,0.454545
捞派嫩鸡肉片(半）,1500680,0.1500,1.2000,0.454545
捞派巴沙鱼片,1500700,0.3000,1.2500,0.454545
捞派巴沙鱼片(半),1500700,0.1500,1.2500,0.454545
捞派捞面,1500815,0.0700,1.2500,0.454545
捞派捞面,4017892,0.0700,1.0000,1.000000
捞派滑牛肉,1500677,0.1600,1.2000,2.200000
捞派滑牛肉,4515419,0.1800,1.0000,1.000000
捞派滑牛肉(半),1500677,0.1600,1.2000,2.200000
捞派滑牛肉(半),4515419,0.0900,1.0000,1.000000
捞派羊肉,4516492,0.1700,1.0000,1.000000
捞派羊肉(半),4516492,0.0850,1.0000,1.000000
捞派脆脆毛肚,4502187,0.2000,1.0000,1.000000
捞派脆脆毛肚(半),4502187,0.1300,1.0000,1.000000
捞派虾滑,4020091,0.1500,1.0000,1.000000
捞派酥肉,1500681,0.1500,1.2000,0.454545
捞派酥肉,1500682,0.1500,1.2000,0.454545
捞派魔芋素毛肚,4517520,0.2000,1.0000,1.000000
捞派魔芋素毛肚(半),4517520,0.1000,1.0000,1.000000
捞派鲜毛肚,1500684,0.2000,1.2000,0.454545
捞派鲜毛肚(半),1500684,0.1000,1.2000,0.454545
捞派黄喉,1500685,0.2000,1.2000,0.454545
